purpose	mean_routed_distance	var_routed_distance	mean_crowfly_distance	var_crowfly_distance
remote_work	29.054722	5593.091951	11.153455	931.290462
leisure	13.128054	5006.409929	3.851773	540.973137
shop	6.889934	5103.693840	1.801707	266.090819
escort_kids	5.991882	263.650606	2.945656	162.930462
escort_other	12.379748	1547.241947	5.488903	361.097208
